日期,城市,城市分层,省份,天气,温度,众数配送费,众数配送费门店占比
2026-07-17,呼伦贝尔,,内蒙古,多云,24,,
2026-07-17,怒江傈僳族自治州,,云南,中雨,30,,
2026-07-17,商洛,,陕西,阴,32,,
2026-07-17,襄阳,,湖北,小雨,32,,
2026-07-17,呼和浩特,,内蒙古,小雨,29,,
2026-07-17,朔州,,山西,晴,29,,
2026-07-17,鹤岗,,黑龙江,多云,27,,
2026-07-17,北海,,广西,中雨,31,,
2026-07-17,拉萨,,西藏,中雨,25,,
2026-07-17,三门峡,,河南,小雨,28,,
2026-07-17,潍坊,,山东,小雨,25,,
2026-07-17,泰州,,江苏,小雨,35,,
2026-07-17,安阳,,河南,中雨,28,,
2026-07-17,宁波,,浙江,小雨,37,,
2026-07-17,重庆,,重庆,小雨,38,,
2026-07-17,河池,,广西,阵雨,32,,
2026-07-17,绍兴,,浙江,多云,37,,
2026-07-17,鸡西,,黑龙江,晴,31,,
2026-07-17,兴安,,内蒙古,晴,28,,
2026-07-18,深圳,一线城市,广东,雷阵雨,30,0.00,0.6485
2026-07-18,上海,一线城市,上海,小雨,35,0.50,0.5221
2026-07-18,北京,一线城市,北京,小雨,28,0.50,0.59
2026-07-18,广州,一线城市,广东,雷阵雨,32,0.50,0.5
2026-07-18,杭州,新一线城市,浙江,小雨,35,0.00,0.506
2026-07-18,苏州,新一线城市,江苏,小雨,33,0.00,0.5385
2026-07-18,合肥,新一线城市,安徽,小雨,30,0.00,0.7025
2026-07-18,武汉,新一线城市,湖北,小雨,31,0.50,0.529
2026-07-18,南京,新一线城市,江苏,阴,32,0.00,0.5176
2026-07-18,郑州,新一线城市,河南,多云,33,0.00,0.6087
2026-07-18,东莞,新一线城市,广东,雷阵雨,31,0.00,0.7419
2026-07-18,西安,新一线城市,陕西,多云,32,0.50,0.5345
2026-07-18,青岛,新一线城市,山东,多云,29,0.00,0.6078
2026-07-18,长沙,新一线城市,湖南,雷阵雨,33,0.00,0.82
2026-07-18,天津,新一线城市,天津,雷阵雨,34,0.50,0.5263
2026-07-18,佛山,新一线城市,广东,雷阵雨,33,0.00,0.6
2026-07-18,沈阳,二线城市,辽宁,多云,32,0.00,0.5492
2026-07-18,南通,二线城市,江苏,中雨,32,0.00,0.7627
2026-07-18,临沂,二线城市,山东,多云,31,0.00,0.84
2026-07-18,南昌,二线城市,江西,雷阵雨,35,0.00,0.5263
2026-07-18,泉州,二线城市,福建,小雨,33,0.00,0.82
2026-07-18,常州,二线城市,江苏,小雨,34,0.00,0.5625
